create mail merge documents using fields supported objects.	erstellen sie seriendruckdokumente mithilfe von objekten, die felder unterstützen.
from setup, use the quick find box to search for settings for your email integration feature. search for lightning for outlook or lightning for gmail for those features. for salesforce for outlook, search for outlook configurations.	verwenden sie unter "setup" das feld schnellsuche, um nach einstellungen für ihre e-mail-integrationsfunktion zu suchen. suchen sie für diese funktionen nach lightning für outlook oder lightning für gmail. suchen sie für salesforce for outlook nach outlook-konfigurationen.
after you create the event, go to the event record.	nachdem sie das ereignis erstellt haben, wechseln sie zum ereignisdatensatz.
configuring salesforce as an identity provider for aws involves these high-level steps.	die konfiguration von salesforce als identitätsanbieter für die authentifizierung bei aws beinhaltet die folgenden allgemeinen schritte.
funds used vs. allocated by budget	funds used vs. allocated by budget
microsoft dynamics crm organization name. organization names are case-sensitive.	microsoft dynamics crm-organisationsname. bei organisationsnamen wird die groß-/kleinschreibung beachtet.
indicates whether the user has registered a u2f security key. the user can verify identity by inserting the security key into a usb port.	gibt an, ob der benutzer einen u2f-sicherheitsschlüssel registriert hat. der benutzer kann die identität bestätigen, indem er den sicherheitsschlüssel in einen usb-anschluss steckt.
snapshots are taken every sunday at midnight (local time), unless you set a different schedule when trending a report. processing and surfacing the data requires more time, which can delay snapshots.	snapshots werden jeden sonntag um mitternacht (lokale uhrzeit) erstellt, sofern sie keinen anderen plan zur trendaufzeichnung für einen bericht festlegen. das verarbeiten und darstellen der daten nimmt mehr zeit in anspruch, was die snapshots verzögern kann.
after the record is saved, edit the service territory details.	bearbeiten sie nach der datensatzspeicherung die serviceregionsdetails.
to access the lightning platform home page:	zugreifen auf die lightning-plattform-startseite:
you can deactivate customer users as needed.	sie können kundenbenutzer nach bedarf deaktivieren.
new and refreshed sandboxes have the default email deliverability setting system email only. to configure email deliverability settings, in the sandbox org, from setup, enter deliverability in the quick find box, then select deliverability. if editable, set the access level in the access to send email section. you can’t edit the access level if salesforce has restricted your organization’s ability to change this setting.	für neue und aktualisierte sandbox-instanzen wird die standardeinstellung für die e-mail-zustellbarkeit, nur system-e-mails, verwendet. um die einstellungen für die e-mail-zustellbarkeit zu konfigurieren, geben sie in der sandbox-organisation unter "setup" im feld schnellsuche den text zustellbarkeit ein und wählen sie dann zustellbarkeit aus. sofern bearbeitbar, legen sie im abschnitt zugriff auf "e-mail senden" den wert für zugriffsebene fest. sie können die zugriffsebene nicht ändern, wenn salesforce für ihre organisation entsprechende einschränkungen festgelegt hat.
if an order or reduction order has been activated, you can’t delete its order products. but you can still edit an order product’s fields.	wenn ein auftrag oder reduzierungsauftrag aktiviert wurde, können sie dessen auftragsprodukte nicht löschen. sie können jedoch weiterhin die felder eines auftragsprodukts bearbeiten.
analytics removes schema sections from all transformations except sfdcdigest when you add a dataflow to a package. if you intend to package a dataflow, we recommend that you specify field attributes in the transformation itself, instead of in a schema section. for example, this computerelative transformation uses a label attribute to change a field’s label.	analytics entfernt die abschnitte "schema" aus allen transformationen mit ausnahme von sfdcdigest, wenn sie einem paket einen datenfluss hinzufügen. wenn sie die absicht haben, einen datenfluss einem paket hinzuzufügen, empfehlen wir ihnen, die feldattribute in der transformation selbst anzugeben und nicht im abschnitt "schema". zum beispiel verwendet diese computerelative-transformation ein label-attribut, um die bezeichnung eines felds zu ändern.
to add or remove topics:	hinzufügen oder entfernen von themen:
the production org has lightning experience turned on.	für die produktionsorganisation wurde lightning experience aktiviert.
accept an invitation for salesforce to salesforce	annehmen einer einladung zu salesforce-zu-salesforce
get the information you need from the reports tab list view	anzeigen der benötigten informationen über die listenansicht der registerkarte "berichte"
when you add an attachment to an email, you can send the attachment as a link instead of sending the entire file. you can stop the person who got the email from opening the linked attachment.	wenn sie einer e-mail einen anhang hinzufügen, können sie den anhang als link senden statt der gesamten datei. sie können den empfänger der e-mail davon abhalten, den verlinkten anhang zu öffnen.
last update date	letztes aktualisierungsdatum
insert, update, or delete data using data loader	einfügen, aktualisieren oder löschen von daten mit data loader
native id of recipient on social network	native id des empfängers des sozialen netzwerks
if the disallow html documents and attachments security setting is enabled, file fields do not support html files.	wenn die sicherheitseinstellung html-dokumente und anhänge nicht zulassen aktiviert ist, unterstützen die felder vom typ "datei" keine html-dateien.
hierarchical custom settings allow values at any of three different levels: organization—the default value for everyone profile—overrides the organization value user—overrides both organization and profile values salesforce automatically determines the correct value for this custom setting field based on the running user’s current context.	bei hierarchischen benutzerdefinierten einstellungen sind werte auf drei verschiedenen ebenen zulässig: organisation: der standardwert für alleprofil: überschreibt den organisationswert.benutzer: überschreibt den organisations- und den profilwert. salesforce bestimmt automatisch den richtigen wert für dieses feld für benutzerdefinierte einstellungen auf der grundlage des aktuellen kontexts des aktuellen benutzers.
record field changes in the feed aren’t included in search results.	änderungen an datensatzfeldern im feed sind nicht in den suchergebnissen enthalten.
provisions users for third-party services. a user provisioning flow can only be implemented by associating it with a connected app when running the user provisioning wizard. provisions users for third-party services. for example, use this flow type to customize the user provisioning configuration for a connected app to link salesforce users with their google apps accounts.	stellt benutzer für drittanbieter-services bereit. ein benutzerbereitstellungs-flow kann nur dadurch implementiert werden, dass er beim ausführen des assistenten für die benutzerbereitstellung einer verbunden anwendung zugeordnet wird. stellt benutzer für drittanbieter-services bereit. verwenden sie beispielsweise den folgenden flow-typ, um die konfiguration der benutzerbereitstellung für eine verbundene anwendung so anzupassen, dass salesforce-benutzer mit ihren jeweiligen google apps-accounts verknüpft werden.
where {!name} and {!phone} are placeholders for the values of the name and phone fields of each record.	dabei sind {!name} und {!telefon} platzhalter für die felder name und telefon der einzelnen datensätze.
on the lightning component detail page, click developer console.	klicken sie auf der detailseite der lightning-komponente auf developer console.
01/01/18	01.01.2018
the opportunities with historical trending report is a custom report type designed to help you analyze historical trends in your sales pipeline.	beim bericht "opportunities mit historischen trends" handelt es sich um einen benutzerdefinierten berichtstyp, mit dem sie historische trends in ihrer vertriebs-pipeline analysieren können.
integration with salesforce knowledge lets knowledge users provide useful information to your mobile work force. create knowledge articles with vital information like product manuals and step-by-step instructions.	durch die integration von salesforce knowledge können knowledge-benutzer nützliche informationen für ihre mobile belegschaft bereitstellen. es können knowledge-artikel mit wichtigen informationen wie produkthandbüchern und schrittweisen anleitungen erstellt werden.
a mobile license is required for each user who will access the salesforce mobile classic app. you allocate mobile licenses using the mobile user checkbox on the user record.	für jeden benutzer, der auf die salesforce mobile classic-anwendung zugreifen soll, ist eine mobile-lizenz erforderlich. sie können mobile-lizenzen mithilfe des kontrollkästchens mobile-benutzer im datensatz des benutzers zuweisen.
under chatter tabs in communities, click edit next to the community you want to edit.	klicken sie unter "chatter-registerkarten in communities" neben der community, die sie bearbeiten möchten, auf bearbeiten.
in the axes field, add at least three measures. for example, add average opportunity amount, total opportunity amount, and count of rows.	fügen sie im feld "achsen" mindestens drei maßeinheiten hinzu. fügen sie beispielsweise den durchschnittlichen opportunity-betrag, den opportunity-gesamtbetrag und die anzahl der zeilen hinzu.
mobile start url—for mobile connected apps to direct users to a specific location when the app is accessed from a mobile device.	start-url (mobil): für mobile verbundene anwendungen, um benutzer an einen bestimmten ort weiterzuleiten, wenn sie von einem mobilgerät aus auf die anwendung zugreifen.
salesforce mobile classic supports default field values only for picklists and multiselect picklists. default field values for other types of fields, such as checkboxes and numeric fields, do not appear in salesforce mobile classic.	salesforce mobile classic unterstützt standardfeldwerte nur bei auswahllisten und auswahllisten mit mehrfachauswahl. standardfeldwerte für andere feldtypen wie kontrollkästchen und numerische felder werden in salesforce mobile classic nicht angezeigt.
all my accounts — up to 5000 accounts you own or where you are on the account team (in addition to accounts that you manually include and accounts related to your contacts).	alle meine accounts – bis zu 5.000 accounts, deren inhaber sie sind oder für die sie im accountteam sind (zusätzlich zu accounts, die sie manuell aufnehmen, und accounts, die mit ihren kontakten in verbindung stehen).
follow these steps to expose entitlements and/or service contracts in a community.	führen sie die folgenden schritte aus, um ansprüche und/oder serviceverträge in einer community verfügbar zu machen.
for example, a user logs in to the org. on the user’s activations page, several different browsers are activated, but the user has only logged in from a single browser on a work laptop. the user immediately revokes the activation status of those browsers the user doesn’t recognize. because this user is challenged for identity verification using a code sent via sms to the user’s mobile device, anyone else who tries to log in from one of the deactivated browsers can’t get the texted verification code. without the code, the hacker fails the identity verification challenge. the user can then report the potential security breach.	so zum beispiel, wenn sich ein benutzer bei der organisation anmeldet. auf der seite "aktivierungen" des benutzers sind mehrere verschiedene browser aktiviert, der benutzer hat sich jedoch nur über einen arbeitslaptop angemeldet. der benutzer widerruft sofort den aktivierungsstatus der browser, die dem benutzer nicht bekannt sind. da dieser benutzer aufgefordert wird, seine identität mithilfe eines per sms an das mobilgerät des benutzers gesendeten codes zu bestätigen, kann die person, die versucht, sich über einen der deaktivierten browser anzumelden, den per sms gesendeten prüfcode nicht abrufen. ohne code ist die identitätsüberprüfung fehlerhaft und der hacker erhält keinen zugriff. der benutzern kann dann die potenzielle sicherheitsverletzung melden.
custom picklist fields aren’t supported in matching rules used in cross-object duplicate rules. for example, you can’t use a custom picklist field on the lead object in a rule that matches contacts which duplicate leads.	benutzerdefinierte auswahllisten werden nicht unterstützt, wenn sie in abgleichsregeln enthalten sind, die in objektübergreifenden duplikatsregeln verwendet werden. beispielsweise können sie ein benutzerdefiniertes auswahllistenfeld für das lead-objekt in einer regel verwenden, die nach kontakten sucht, die duplikate von leads sind.
fields protected by platform encryption can’t be used as filter or sort criteria.	durch die plattformverschlüsselung geschützte felder können nicht als filter- oder sortierkriterien verwendet werden.
first define the icon as a static resource in salesforce. for more information, see defining static resources.	definieren sie das symbol zunächst als statische ressource in salesforce. weitere informationen finden sie unter definieren statischer ressourcen.
for example, apply a background color or image.	weisen sie beispielsweise eine hintergrundfarbe oder ein bild zu.
you can’t use fiscal period columns in opportunity, opportunity with product, or opportunity with schedule reports.	sie können in berichten über opportunities, opportunities mit produkten oder opportunities mit zeitplänen keine spalten für geschäftszeiträume verwenden.
from the management settings for the appropriate object, go to page layouts.	wechseln sie in den verwaltungseinstellungen für das entsprechende objekt zu "seitenlayouts".
additional field considerations	überlegungen zu zusätzlichen feldern
if field mappings failed, the snapshot still runs, but the run history shows that there was a partial error.	wenn die feldzuordnungen nicht erfolgreich durchgeführt werden konnten, wird der snapshot trotzdem ausgeführt, im ausführungsverlauf wird jedoch angezeigt, dass ein teilfehler vorlag.
#url1# administrator object settings	objekteinstellungen für #url1#-administrator
ensure your template design remains pixel-perfect. when users edit a page that's based on a template, their changes don't affect your template.	sie können sicherstellen, dass ihr vorlagendesign pixelgenau beibehalten wird. wenn ein benutzer eine seite bearbeitet, die auf einer vorlage beruht, wirken sich seine änderungen nicht auf ihre vorlage aus.
explore the home tab	erkunden der registerkarte "startseite"
the steps for adding a summary formula column are a little different depending on whether you’re using lightning experience or salesforce classic. follow the instructions based on whether you’re using the lightning experience or the salesforce classic report builder.	die schritte, die zum hinzufügen einer zusammenfassungsformelspalte erforderlich sind, sind in lightning experience und salesforce classic etwas unterschiedlich. befolgen sie die jeweiligen anweisungen je nachdem, ob sie den lightning experience- oder salesforce classic-berichtsgenerator verwenden.
partner name	partnername
see what’s in store with the today page	anzeigen einer tagesübersicht mit der seite "heute"
user who last changed the campaign fields, including modification date and time. this does not track changes made to any of the related list items on the campaign. (read only)	angabe zum benutzer, der die kampagnenfelder zuletzt geändert hat inklusive bearbeitungsdatum und -zeit. hier werden keine änderungen an themenlistenelementen der kampagne berücksichtigt. (schreibgeschützt)
fit to widget	an widget anpassen
contract page layout for cpq	vertragsseitenlayout für cpq
soap api provides a powerful, convenient, and simple soap-based web services interface for interacting with salesforce. you can use soap api to create, retrieve, update, or delete records. you can also use soap api to perform searches and much more. use soap api in any language that supports web services.	die soap-api bietet eine leistungsstarke, bequeme und einfache webservices-schnittstelle auf soap-basis für die interaktion mit salesforce. mit der soap-api können sie datensätze erstellen, abrufen, aktualisieren und löschen. sie können die soap-api außerdem für suchvorgänge und vieles mehr verwenden. sie können die soap-api in jeder sprache verwenden, die webservices unterstützt.
click uninstall to remove the package and all its components from your salesforce organization.	klicken sie auf deinstallieren, um das paket und alle seine komponenten aus ihrer salesforce-organisation zu entfernen.
service contract queues available in: professional, enterprise, performance, unlimited, and developer editions with the service cloud	servicevertragswarteschlangen sind verfügbar in: professional, enterprise, performance, unlimited und developer edition mit service cloud
move reports between folders to organize the reports and control access.	verschieben sie berichte zwischen ordnern, um ordnung zu schaffen und den zugriff zu steuern.
to access the chatter settings page, enter chatter in the quick find box and select chatter settings.	um die seite "chatter-einstellungen" aufzurufen, geben sie unter "setup" im feld schnellsuche den text chatter ein und wählen sie dann chatter-einstellungen aus.
the map name and label are used in analytics.	der kartenname und die kartenbezeichnung werden in analytics verwendet.
to access a field on the case’s owner, choose the appropriate relationship. be careful, though. if you pick owner id (user) and the owner of the record is actually a queue, the process fails.	wählen sie zum zugreifen auf den inhaber des kundenvorgangs die entsprechende beziehung aus. seien sie jedoch vorsichtig. wenn sie inhaber-id (benutzer) auswählen, der inhaber des datensatzes jedoch eine warteschlange ist, schlägt der prozess fehl.
if you have manager access to an app, you can delete it. deleting an app permanently removes all of its lenses, dashboards, and datasets from analytics.	wenn sie über managerzugriff auf eine anwendung verfügen, können sie sie löschen. durch löschen einer anwendung werden alle zugehörigen linsen, dashboards und datensets dauerhaft aus analytics entfernt.
test the chat from the customer’s perspective. in another window in the same browser, initiate a chat by navigating to a web page where you’ve placed the code snippet and starting the chat.	testen sie den chat aus der perspektive des kunden. initiieren sie in einem anderen fenster im selben browser einen chat durch navigieren zu einer webseite, auf der sie den codeauszug platziert haben, und beginnen sie mit dem chat.
the milestone occurs only once on the record.	der meilenstein kommt im datensatz nur einmal vor.
a sandbox is a copy of your organization in a separate environment, you can use for a variety of purposes, such as testing and training. sandboxes are completely isolated from your salesforce production organization and operations you perform in your sandboxes do not affect your salesforce production organization.	eine sandbox ist eine kopie ihrer organisation in einer separaten umgebung, die sie für eine vielzahl von zwecken verwenden können, beispielsweise für tests und schulungen. sandbox-instanzen sind von ihrer salesforce-produktionsorganisation vollständig isoliert und die vorgänge, die sie in ihren sandbox-instanzen durchführen, wirken sich nicht auf ihre salesforce-produktionsorganisation aus.
the context argument is an object whose type is the uninstallcontext interface. this interface is automatically implemented by the system. the following definition of the uninstallcontext interface shows the methods you can call on the context argument.	das kontextargument ist ein objekt, dessen typ die uninstallcontext-schnittstelle ist. diese schnittstelle wird automatisch vom system implementiert. die folgende definition der uninstallcontext-schnittstelle zeigt die methoden, die sie für das kontextargument aufrufen können.
guidelines for custom actions	richtlinien für benutzerdefinierte aktionen
from can include only 1 object.	from kann nur ein objekt enthalten.
alternatively, click i can’t scan the qr code in your browser. the browser displays a security key. in the authenticator app, enter your username and the key displayed.	klicken sie in ihrem browser alternativ auf ich kann den qr-code nicht einlesen. im browser wird ein sicherheitsschlüssel angezeigt. geben sie in der authentifizierungsanwendung ihren benutzernamen und den angezeigten schlüssel ein.
flows execute a wait element	flows führen ein warteelement aus.
customize your forecast category names to match your business process and terminology.	passen sie die namen ihrer prognosekategorien so an, dass sie ihren geschäftsprozessen und ihrer terminologie entsprechen.
the last name of the admin user for the trial signup.	der nachname des administratorbenutzers für die testregistrierung.
lead related lists	leadthemenlisten
specify which methods in a top-level apex class are executable for a profile.	geben sie an, welche methoden in einer apex-klasse auf der obersten ebene für ein profil ausführbar sind.
largest value	maximalwert
the arrows show the direction in which uploads can occur. a broken line means that no change sets are authorized in either direction. to authorize the connected org to send you inbound change sets, edit the deployment connection for this org. if you want to send outbound change sets to a connected org, the administrator for that org must edit the connection for that org.	die pfeile geben an, in welcher richtung hochladevorgänge erfolgen können. eine gestrichelte linie bedeutet, dass für keine der richtungen änderungssets autorisiert sind. wenn sie die verbundene organisation autorisieren möchten, ihnen eingehende änderungssets zu senden, bearbeiten sie die bereitstellungsverbindung für diese organisation. wenn sie ausgehende änderungssets an eine verbundene organisation senden möchten, muss der administrator dieser organisation die verbindung für diese organisation bearbeiten.
if you have administrator privileges, use the setup menu to customize salesforce for your organization (4)	wenn sie über administratorberechtigungen verfügen, verwenden sie das menü "setup", um salesforce für ihre organisation anzupassen (4)
change the name of a section	den namen eines abschnitts ändern
next step description	beschreibung des nächsten schritts
expose the milestone tracker to support agents.	stellen sie den support-agenten die meilensteinüberwachung zur verfügung.
external objects also don’t support salesforce knowledge-specific clauses, including the following.	auch salesforce knowledge-spezifische klauseln werden für externe objekte nicht unterstützt. dazu zählt folgendes.
analytics uses the bulk api, but this does not count towards salesforce bulk api limits. the dataflow submits a separate bulk api call to extract data from each salesforce object. the dataflow uses a batch size of 100k to 250k, depending on whether the dataflow or the bulk api chunks the data. as a result, to extract 1 million rows from an object, the dataflow creates 4-10 batches.	analytics verwendet die bulk-api, was jedoch nicht auf die obergrenzen für die salesforce-bulk-api angerechnet wird. der datenfluss sendet einen separaten bulk-api-aufruf zur extrahierung von daten aus den einzelnen salesforce-objekten. der datenfluss verwendet eine batchgröße von 100.000 bis 250.000, je nachdem, ob der datenfluss oder die bulk-api die daten in blöcke aufteilt. um aus einem objekt 1 million zeilen zu extrahieren, erstellt der datenfluss daher 4 bis 10 batches.
in addition to the standard user attributes supported for regular saml jit users, these account attributes are also supported. for example, specifying an account.phone attribute in the assertion will update the account’s phone field on the corresponding account object.	zusätzlich zu den standardbenutzerattributen, die für reguläre saml-jit-benutzer unterstützt werden, werden auch diese accountattribute unterstützt. so wird beispielsweise durch angabe des attributs account.phone in der behauptung das feld "telefon" im entsprechenden account-objekt aktualisiert.
to send a chatter message:	so senden sie chatter-nachrichten:
use free-text search.	verwenden sie die freitextsuche.
generate your own tenant secret (byok)	generieren ihres eigenen mandantengeheimnisses (byok)
16:30 28/02/2008	28/02/2008 04:30 pm
oldest failures	ältesten fehlgeschlagenen elemente
to restrict record types:	einschränken von datensatztypen:
bam	bam
the flow always stores the api value for each picklist value.	im flow wird immer der api-wert für alle auswahllistenwerte gespeichert.
the available fields depend on which object the matching rule applies to and include both standard and custom fields.	die verfügbaren felder sind davon abhängig, für welches objekt die abgleichsregel gilt. sie beinhalten sowohl standardmäßige als auch benutzerdefinierte felder.
if opportunity splits is enabled, and you remove a team member assigned to a split that must total 100%, the removed member’s percentage transfers to the opportunity owner. you can’t remove the opportunity owner.	wenn "opportunity-aufteilungen" aktiviert ist und sie ein teammitglied entfernen, das einer aufteilung zugewiesen ist, die insgesamt 100 % ergeben muss, wird der prozentsatz des entfernten mitglieds auf den opportunity-inhaber übertragen. der opportunity-inhaber kann nicht entfernt werden.
there are two different options for enabling territory management, which depend on your preference to retain or purge pre-existing forecast data. click either enable territory management or enable territory management from scratch.	es gibt zwei verschiedene optionen zur aktivierung der regionsverwaltung, die davon abhängen, ob sie die bereits bestehenden prognosedaten lieber beibehalten oder löschen möchten. klicken sie auf regionsverwaltung aktivieren oder auf regionsverwaltung bei null beginnend aktivieren.
#url1# administrator system permissions	systemberechtigungen für #url1#-administrator
object attribute	objektattribut
decoupling of the search box from the community header, making it easier to insert your own search experience within a community.	trennung des suchfelds von der community-kopfzeile, um das einfügen ihrer eigenen suchumgebung innerhalb einer community zu vereinfachen.
configure sso from salesforce to sugarcrm	konfigurieren von sso über salesforce bei sugarcrm
text to distinguish this opportunity product from another.	text, um dieses opportunity-produkt von anderen zu unterscheiden.
custom s-control—use the behavior from an s-control. this option isn’t supported for mobile.	custom s-control: verwendet ein s-control-verhalten. diese option wird auf mobilgeräten nicht unterstützt.
using date and date/time in formulas	verwenden von datums- und datums-/zeitwerten in formeln
outer	outer
the number of user records with this checkbox enabled can’t exceed the total number of #url1# contributor licenses your org has.	die anzahl an benutzerdatensätzen, für die dieses kontrollkästchen aktiviert ist, darf die gesamtanzahl an #url1# contributor-lizenzen ihrer organisation nicht überschreiten.
error2	error2
pt_br	pt_br
update and publish not validated	aktualisieren und veröffentlichen von artikeln mit dem status not validated (nicht überprüft)
check whether a boolean resource’s value matches another value or resource.	sie können überprüfen, ob der wert einer ressource vom typ "boolesch" mit einem anderen wert oder einer anderen ressource übereinstimmt.
click to expand.	klicken sie zum erweitern.
adding padding and margins to panels	hinzufügen von innen- und außenabständen zu feldern
when importing business accounts and contacts for your org, you must use excel® to label the columns in your import file as specified in field mapping for other data sources and organization import.	beim importieren von geschäftsaccounts und kontakten für ihre organisation müssen sie zur kennzeichnung der spalten in ihrer importdatei excel® verwenden, wie unter feldzuordnung für andere datenquellen und importe für das gesamte unternehmen angegeben.
click the add arrow to move the connection to the selected connections list.	klicken sie auf die pfeilschaltfläche zum hinzufügen , um die verbindung in die liste "ausgewählte verbindungen" zu verschieben.
geocodeaccuracy	geocodeaccuracy
if an opportunity's account moves to more than one of the territory's children, then the opportunity's territory field is set to blank.	wenn der account einer opportunity in mehrere untergeordnete regionen der ursprünglichen region verschoben wird, wird das regionsfeld der opportunity auf einen leeren wert zurückgesetzt.
account name field on cases shows only accounts that have a billing country of usa.	im feld "accountname" für kundenvorgänge werden nur accounts mit den usa als "rechnungsanschrift land" angezeigt.
use permission sets to prevent users from attaching salesforce files to posts, records, and other objects.	verwenden sie berechtigungssätze, um zu verhindern, dass benutzer salesforce-dateien an posts, datensätze und andere objekte anhängen.
you need this user permission to see the report in your org.	sie benötigen diese benutzerberechtigung, um den bericht in ihrer organisation zu sehen.
to edit the name of a rule, click rename next to the rule name.	klicken sie neben einem regelnamen auf umbenennen, um den namen zu bearbeiten.
to view your chart, click save.	klicken sie zum anzeigen des diagramms auf speichern.
understand what happens when you enable replication	grundlegendes zum verhalten beim aktivieren des abgleichs
associated record sharing	verknüpfte datensatzfreigabe
all custom object records that have a master-detail relationship with any account, contact, or opportunity that is included in your briefcase	alle benutzerdefinierten objektdatensätze mit einer master-detail-beziehung mit einem beliebigen account, kontakt oder einer opportunity, der bzw. die in ihrem aktenkoffer enthalten ist.
to effectively manage your patients, you need their information at your fingertips. the patient card extracts the most important information from a patient’s medical records, such as conditions, medications, and contact information, and displays it all in one place. you can easily see the information you need without searching for it or clicking to other pages.	um patienten effektiv zu verwalten, müssen sie ihre informationen stets zur hand haben. die patientenkarte enthält die wichtigsten informationen aus der krankenakte eines patienten, wie erkrankungen, medikamente und kontaktinformationen, und zeigt sie an einem zentralen ort an. sie erhalten einfachen einblick in die informationen, die sie benötigen, ohne danach suchen oder auf andere seiten klicken zu müssen.
transaction operation	transaktionsvorgang
resetting by user	zurücksetzen nach benutzer
one or more summary fields	eines oder mehrere zusammenfassungsfelder
conducts statistical soundness tests	führt tests hinsichtlich der statistischen zuverlässigkeit aus
to simplify user management in orgs with many of users, delegate aspects of user administration to non-administrator users.	um die benutzerverwaltung in organisationen mit vielen benutzern zu vereinfachen, delegieren sie einige aspekte der benutzerverwaltung an benutzer, die keine administratoren sind.
before you can start sharing data with your business partners, you need to set up a connection to them using salesforce to salesforce. to create that connection, you need to invite your business partner.	bevor sie daten für geschäftspartner freigeben können, müssen sie mit diesen eine verbindung über salesforce-zu-salesforce herstellen. um diese verbindung zu erstellen, müssen sie ihre geschäftspartner einladen.
all file types are supported, including everything from microsoft® powerpoint presentations and excel spreadsheets, to adobe® pdfs and image files. audio and video files can be uploaded and downloaded, but not parsed or previewed.	es werden alle dateitypen unterstützt. dazu zählen alle formate von microsoft® powerpoint-präsentationen und excel-tabellenblättern über adobe® pdfs bis hin zu bilddateien. audio- und videodateien können hoch- und heruntergeladen werden. es ist jedoch nicht möglich, sie zu analysieren oder eine vorschau von ihnen anzuzeigen.
to create and edit external objects:	erstellen und bearbeiten externer objekte:
enter the full url. the url field supports http or https. it doesn’t support passing salesforce parameters in the url, like salesforce object or analytics dataset fields.	geben sie den vollständigen url ein. das url-feld unterstützt http oder https. die weiterleitung von salesforce-parametern im url, wie beispielsweise von salesforce-objekten oder analytics-datenset-feldern, wird nicht unterstützt.
failed: invalid access token	fehlgeschlagen: zugriffstoken ungültig
title – give the chart a title.	titel: legen sie einen titel für das diagramm fest.
pilot program	pilotprogramm
sessionsettings.iconemailchange	sessionsettings.iconemailchange
start at row	beginnen bei zeile
select a child object:	wählen sie ein untergeordnetes objekt aus:
images must be .png, .gif, or .jpeg files.	bei den bildern muss es sich um png-, gif- oder jpeg-dateien handeln.
'owner' == "$user.userid"	'owner' == "$user.userid"
is the salesforce mobile classic app secure?	ist die salesforce mobile classic-anwendung sicher?
feed item—body	feedeintrag – textkörper
you can add promoted search terms to articles on the article’s detail page in the promoted search terms related list.	auf der detailseite des artikels können sie in der themenliste "höhergestufte suchbegriffe" artikeln höhergestufte suchbegriffe hinzufügen.
open the report in salesforce.	öffnen des berichts in salesforce.
organize records with tags and topics	organisieren von datensätzen mit tags und themen
standard and custom button actions are supported on all list views, except recently viewed. to have a custom button appear on a list view, add the button to the object’s list view search layout.	standardmäßige und benutzerdefinierte schaltflächenaktionen werden für alle listenansichten mit ausnahme von "zuletzt angezeigt" unterstützt. damit eine benutzerdefinierte schaltfläche in einer listenansicht angezeigt wird, fügen sie die schaltfläche dem suchlayout "listenansicht" des objekts hinzu.
the quip lightning component allows you to create and edit quip documents directly in any salesforce record that allows files.	mit der quip-lightning-komponente können sie quip-dokumente direkt in jedem beliebigen salesforce-datensatz erstellen und bearbeiten, in dem files zulässig ist.
available with sales cloud, service cloud, and lightning platform in: professional, enterprise, performance, unlimited, and developer editions	verfügbar mit sales cloud, service cloud und der lightning-plattform in: professional, enterprise, performance, unlimited und developer edition
enter a logout url, for example, #url1#. when users log out of marketo, they are redirected to this url.	geben sie einen abmelde-url ein, beispielsweise #url1#. wenn sich benutzer aus marketo abmelden, werden sie zu diesem url umgeleitet.
assign approval to a queue	eine warteschlange als genehmiger aufweisen
for more information, see emailmessage in the api guide.	weitere informationen finden sie im api guide unter "emailmessage".
select sync private events to sync events your users have marked private either in salesforce or their calendars.	wählen sie private ereignisse synchronisieren aus, um ereignisse zu synchronisieren, die ihre benutzer entweder in salesforce oder in ihren kalendern als "privat" markiert haben.
manage packages	verwalten von paketen
for selected plans, data changes made to your primary heroku postgres databases can be configured to replicate to follower databases. however, data changes are not propagated to completed backups created using heroku pgbackups or the pg_dump postgressql tool, or previously forked databases. therefore, customers should consider tracking any data changes and propagating these changes to forked databases, when restoring database backups created using pgbackups or the pg_dump postgressql tool, or when performing a heroku postgres rollback.	bei ausgewählten plänen können an ihren primären heroku postgres-datenbanken vorgenommene änderungen so konfiguriert werden, dass sie in follower-datenbanken repliziert werden. datenänderungen werden jedoch nicht in abgeschlossenen sicherungen, die mithilfe von heroku pgbackups oder dem postgressql-tool "pg_dump" erstellt wurden, oder zuvor geforkten datenbanken übernommen. daher sollten kunden darüber nachdenken, alle datenänderungen zu verfolgen und diese änderungen in geforkten datenbanken übernehmen, wenn sie datenbanksicherungen wiederherstellen, die mit pgbackups oder dem postgressql-tool "pg_dump" erstellt wurden, oder wenn sie einen heroku postgres-rollback vornehmen.
you can define binding variables in the action url, http request body, and http headers fields of an action link template. after a template is published, you can edit these fields, you can move binding variables between these fields, and you can delete binding variables. however, you can’t add new binding variables.	sie können bindungsvariablen in den feldern aktions-url, http-anforderungstext und http-kopfzeilen einer aktionslinkvorlage speichern. nach der veröffentlichung einer vorlage können sie diese felder bearbeiten. sie können bindungsvariablen zwischen diesen feldern verschieben und bindungsvariablen löschen. sie können jedoch keine neuen bindungsvariablen hinzufügen.
if shared activities is enabled	wenn "gemeinsame aktivitäten" aktiviert ist:
the configuration type field defines when users can access the configure products page and whether they are required to configure certain options. your configuration type also determines the configuration events you can choose from.	im feld "konfigurationstyp" wird definiert, wann benutzer auf die seite "produkte konfigurieren" zugreifen können und ob die konfiguration bestimmter optionen als erforderlich festgelegt wird. der konfigurationstyp legt auch die zur auswahl stehenden konfigurationsereignisse fest.
